src_ip,dst_ip,src_port,dst_port,protocol,protocol_name,packet_count,total_bytes,flow_duration,packet_rate,byte_rate,avg_pkt_size,std_pkt_size,min_pkt_size,max_pkt_size,avg_iat,std_iat,burstiness,entropy,is_outbound,suspicious_port,start_time,end_time,label,attack_type,heuristic_score,heuristic_label,triggered_rules,rf_label,rf_confidence,if_anomaly,if_anomaly_score,ml_label
192.168.111.33,185.45.140.241,64488,25,6,TCP,75,192267,112.33593433045553,0.6676403276210314,1711.5360382761712,2563.56,236.28743323372373,40.0,1500.0,1.497812457739407,0.9592597586849562,0.6269032628731567,4.341619379720934,1,0,1707177602.3600364,1709511952.0826318,benign,benign,0,Benign,none,benign,1.0,0,-0.421659,Benign
192.168.123.73,216.136.28.38,65044,443,6,TCP,42687,32673153,2260.773874348904,18.881587621094447,14452.198590365331,765.412256658936,395.19560393485074,40.0,1500.0,0.05296164814460852,0.007345577974353756,1.1461945451085258,7.979847858027873,1,1,1704703027.4022517,1701490813.3103256,exfiltration,https_upload,100,Possible Exfiltration,"high_entropy, very_high_entropy, large_transfer, huge_transfer, very_long_duration, suspicious_port",exfiltration,1.0,1,-0.479513,Possible Exfiltration
192.168.67.156,161.195.147.170,55047,9001,6,TCP,1124,4430302,512.657757989155,2.192495836615775,8641.831574689095,3941.549822064057,209.3457782962394,40.0,1500.0,0.45610120817540484,0.018067705794142554,1.3093179478313166,7.963716009351032,1,1,1701242667.0460362,1708760729.028216,exfiltration,covert_high_entropy,95,Possible Exfiltration,"high_entropy, very_high_entropy, large_transfer, long_duration, suspicious_port",exfiltration,1.0,0,-0.414998,Possible Exfiltration
192.168.153.92,62.152.148.111,50954,443,6,TCP,13300,23454137,3395.779681091708,3.916626297653147,6906.8488543578715,1763.4689473684211,174.99819688588593,40.0,1500.0,0.25532178053321114,0.004245629551328106,0.9305893202889166,7.981445501108665,1,1,1702765433.5091186,1707239048.8200517,exfiltration,https_upload,100,Possible Exfiltration,"high_entropy, very_high_entropy, large_transfer, huge_transfer, very_long_duration, suspicious_port",exfiltration,1.0,0,-0.440733,Possible Exfiltration
192.168.91.12,202.138.8.63,61642,31337,6,TCP,1852,1373095,34.675315236044476,53.40975236686164,39598.6306296846,741.4119870410367,304.4901754220605,40.0,1500.0,0.018723172373674123,0.027266997356174983,2.468463309540682,7.9557824141253155,1,1,1706439734.9473634,1709466181.1635344,exfiltration,covert_high_entropy,90,Possible Exfiltration,"high_entropy, very_high_entropy, large_transfer, high_burstiness, suspicious_port",exfiltration,1.0,1,-0.51922,Possible Exfiltration
192.168.224.222,115.217.250.103,49490,443,6,TCP,583,914069,16958.93595243685,0.0343771567765269,53.89895937832446,1567.8713550600344,46.48863724125694,40.0,200.0,29.089083966443994,13.950944725229705,1.7577109632085617,7.912182425521078,1,1,1704857091.1141102,1706527521.8635364,suspicious,slow_exfil,80,Possible Exfiltration,"high_entropy, very_high_entropy, very_long_duration, suspicious_port",suspicious,1.0,1,-0.485264,Suspicious
192.168.133.151,163.202.190.240,56517,53,17,UDP,12,3731,20.337991662578276,0.5900287599232275,183.4497752727968,310.9166666666667,11.888197019903957,60.0,512.0,1.6948326385481896,0.03650914065666338,3.9726179172021987,7.948597811590648,1,1,1707809150.7921107,1704807151.853132,exfiltration,dns_tunneling,65,Possible Exfiltration,"high_entropy, very_high_entropy, high_burstiness, suspicious_port",exfiltration,1.0,1,-0.483772,Possible Exfiltration
192.168.114.43,119.18.43.107,62202,22,6,TCP,262,88111,85.53283575441836,3.0631511008503645,1030.1423917825437,336.30152671755724,85.60409658742394,40.0,1500.0,0.3264612051695357,0.3079095611277579,0.44489313849651746,4.2112233801665715,1,0,1703302012.9559772,1706860525.548104,benign,benign,0,Benign,none,benign,1.0,0,-0.384096,Benign
192.168.4.192,125.183.168.110,54208,587,6,TCP,404,91264,21.220966224878413,19.037775929654433,4300.652431792036,225.9009900990099,179.3884109846933,40.0,1500.0,0.05252714412098617,1.3000433565080851,0.21822204959584474,5.998149994323314,1,0,1704158074.021706,1700416162.0764923,benign,benign,0,Benign,none,benign,1.0,0,-0.392738,Benign
192.168.1.12,224.171.152.88,62543,53,17,UDP,47,3257,22.09824758226551,2.1268654822076876,147.38725267128592,69.29787234042553,15.875617890899136,60.0,512.0,0.47017548047373425,0.18354912267682735,3.1379736076198257,7.942054738460863,1,1,1704060008.7489114,1705562095.7872214,exfiltration,dns_tunneling,65,Possible Exfiltration,"high_entropy, very_high_entropy, high_burstiness, suspicious_port",exfiltration,1.0,1,-0.453022,Possible Exfiltration
192.168.136.245,217.211.118.199,55460,3306,6,TCP,389,123333,16.15491948749352,24.079352441288734,7634.392736867515,317.0514138817481,195.47334865876192,40.0,1500.0,0.04152935600898077,0.5336601716841913,0.29567577533553957,4.79978004566645,0,0,1704168893.6859488,1702325711.8030596,benign,benign,0,Benign,none,benign,1.0,0,-0.41611,Benign
192.168.168.93,28.245.87.83,50469,4444,6,TCP,3211,4202891,538.8473103145494,5.959016475605297,7799.780976073878,1308.904079725942,60.731526740129596,40.0,1500.0,0.1678129275348955,0.0154967695258738,1.1587930664298607,7.966390077522452,1,1,1705494985.241428,1709918846.490835,exfiltration,covert_high_entropy,95,Possible Exfiltration,"high_entropy, very_high_entropy, large_transfer, long_duration, suspicious_port",exfiltration,1.0,0,-0.406511,Possible Exfiltration
192.168.212.242,38.42.95.141,64876,443,6,TCP,181,107406,114.27044340432354,1.583961649291646,939.9280933912626,593.4033149171271,83.42353577671444,40.0,1500.0,0.6313284165984726,0.0610791029435964,0.2665346350362958,4.687107658552227,0,0,1709168484.076292,1703215407.4435492,benign,benign,0,Benign,none,benign,1.0,0,-0.431191,Benign
192.168.196.155,132.12.76.79,50936,443,6,TCP,23583,25350988,3342.9604247500347,7.054525631054513,7583.394590109629,1074.9687486748928,122.83264090520343,40.0,1500.0,0.14175297564983397,0.006509216791941748,0.7984808616264791,7.982463897013994,1,1,1704327569.6059084,1706262186.1064787,exfiltration,https_upload,100,Possible Exfiltration,"high_entropy, very_high_entropy, large_transfer, huge_transfer, very_long_duration, suspicious_port",exfiltration,1.0,1,-0.45227,Possible Exfiltration
192.168.193.62,236.123.251.114,49835,443,6,TCP,8436,3231235,2524.7907835017404,3.3412669497706857,1279.8030716503415,383.02927927927925,246.86181424614261,40.0,1500.0,0.29928766992671174,0.007758245903117292,1.040849907350196,7.984127365427766,1,1,1700828542.2296364,1706066899.2583125,exfiltration,https_upload,100,Possible Exfiltration,"high_entropy, very_high_entropy, large_transfer, very_long_duration, suspicious_port",exfiltration,1.0,0,-0.410769,Possible Exfiltration
192.168.97.12,199.118.67.115,56253,443,6,TCP,26493,20034184,1778.3114894911773,14.897839977168656,11265.84634828644,756.206696108406,281.75824697092105,40.0,1500.0,0.06712382476469925,0.009429267522188521,0.3066074817045644,7.982822082482084,1,1,1702169937.7792983,1700921910.9796436,exfiltration,https_upload,100,Possible Exfiltration,"high_entropy, very_high_entropy, large_transfer, huge_transfer, long_duration, suspicious_port",exfiltration,1.0,0,-0.436424,Possible Exfiltration
192.168.169.42,158.18.57.194,59676,443,6,TCP,1075,132365,42028.35653236961,0.02557796898796295,3.149421269852759,123.13023255813954,11.949039538840204,40.0,200.0,39.096145611506614,24.83617427119215,2.2455419439695166,7.888391613733412,1,1,1708639681.0546832,1702950468.2618296,suspicious,slow_exfil,85,Possible Exfiltration,"high_entropy, very_high_entropy, very_long_duration, high_burstiness, suspicious_port",suspicious,0.995,1,-0.488094,Suspicious
192.168.168.128,199.253.169.104,55809,22,6,TCP,142,171163,35.238314994424364,4.0297045991690625,4857.298086673059,1205.3732394366198,246.06591155315004,40.0,1500.0,0.2481571478480589,0.3347788668955001,0.13179690238740466,4.9496125331944745,0,0,1707223593.5059645,1704618791.2650535,benign,benign,0,Benign,none,benign,1.0,0,-0.421964,Benign
192.168.247.150,139.224.188.73,65374,31337,6,TCP,3899,338602,253.07247037662677,15.406654047346366,1337.9645739265386,86.84329315209028,277.88638098813817,40.0,1500.0,0.06490701984524924,0.024088638454623144,2.2830698568355654,7.957237085759067,1,1,1705115067.4983435,1704973178.7920732,exfiltration,covert_high_entropy,65,Possible Exfiltration,"high_entropy, very_high_entropy, high_burstiness, suspicious_port",exfiltration,1.0,1,-0.501082,Possible Exfiltration
192.168.192.134,210.246.235.46,58939,993,6,TCP,108,172679,67.52506254487713,1.5994061453585955,2557.2579053183044,1598.8796296296296,203.9948211075581,40.0,1500.0,0.6252320606007141,0.10609940465578771,1.4237278474306692,3.9009782682088,1,0,1709239004.0054543,1705789803.6770713,benign,benign,0,Benign,none,benign,1.0,0,-0.409383,Benign
192.168.19.184,113.49.236.212,59182,993,6,TCP,196,39137,10.779490697790921,18.182677224274332,3630.691012889921,199.67857142857142,20.201034833481728,40.0,1500.0,0.05499740151934143,0.3158891592936415,0.3881477102182106,5.729544453553091,0,0,1702187042.2615163,1705157561.9827876,benign,benign,0,Benign,none,benign,1.0,0,-0.421123,Benign
192.168.204.209,183.164.190.198,63952,5432,6,TCP,248,10356,57.07258517621984,4.345343727365148,181.45314371207044,41.75806451612903,195.00165583152702,40.0,1500.0,0.23013139183959613,1.7126017785894183,0.9834916200206424,3.211157865009776,0,0,1703476736.348359,1706625315.2039704,benign,benign,0,Benign,none,benign,0.995,0,-0.430596,Benign
192.168.63.202,118.59.85.135,61687,80,6,TCP,423,160911,13.106188171920534,32.274830366487485,12277.482811115528,380.40425531914894,261.6442965950432,40.0,1500.0,0.030983896387518993,1.2066112075201125,0.6776001969831524,5.903000152089577,1,0,1703741840.4340718,1704258828.3882325,benign,benign,0,Benign,none,benign,1.0,0,-0.401571,Benign
192.168.214.171,72.242.97.203,51387,443,6,TCP,33104,19728419,1917.9975749864186,17.259667286197903,10285.945747423428,595.9527247462543,257.16851020660675,40.0,1500.0,0.05793854443530747,0.009471434435396943,0.6815839887971378,7.980328802114919,1,1,1705448988.1407285,1703338639.8911986,exfiltration,https_upload,100,Possible Exfiltration,"high_entropy, very_high_entropy, large_transfer, huge_transfer, very_long_duration, suspicious_port",exfiltration,1.0,0,-0.438058,Possible Exfiltration
192.168.199.228,72.196.27.202,60589,53,17,UDP,36,1691,23.732194005847916,1.5169267532167123,71.25342054692946,46.97222222222222,17.31485323928326,60.0,512.0,0.6592276112735532,0.42272408926217103,2.703724233846712,7.885221643698997,1,1,1708462707.7918832,1705078361.6983395,exfiltration,dns_tunneling,65,Possible Exfiltration,"high_entropy, very_high_entropy, high_burstiness, suspicious_port",exfiltration,0.995,1,-0.457875,Possible Exfiltration
192.168.149.98,87.148.127.215,57858,8080,6,TCP,253,74099,109.14717374212327,2.3179711514816757,678.8906891448248,292.8814229249012,40.44411760986047,40.0,1500.0,0.4314117539214359,0.7977064608963798,1.3842727415723466,5.9759600459180255,1,0,1701775065.8243697,1703388628.5181348,benign,benign,0,Benign,none,benign,1.0,0,-0.412026,Benign
192.168.45.215,157.46.165.105,50159,5432,6,TCP,117,41521,12.056473521520617,9.704330191673114,3443.8760161406785,354.88034188034186,81.12510217673079,40.0,1500.0,0.10304678223521894,1.4207801574706371,1.2918685091630853,3.925889339029589,0,0,1708745751.3985558,1703393229.4228106,benign,benign,0,Benign,none,benign,1.0,0,-0.431456,Benign
192.168.202.194,156.15.184.93,61335,587,6,TCP,427,17006,77.90139452561158,5.481288269616477,218.30161197446793,39.82669789227166,108.15238015622455,40.0,1500.0,0.18243886305763835,1.6891132677010858,0.7756015120222115,5.345711393729742,1,0,1707686275.8945937,1708520166.6970093,benign,benign,0,Benign,none,benign,0.995,0,-0.390918,Benign
192.168.16.207,95.190.31.169,58758,53,17,UDP,59,7601,10.673541192196286,5.527687478560208,712.13478855146,128.83050847457628,15.198114859533552,60.0,512.0,0.18090747783383535,0.20093888113160419,1.9023685589537735,7.975522832589536,1,1,1702757620.7549508,1708797765.8438196,exfiltration,dns_tunneling,60,Possible Exfiltration,"high_entropy, very_high_entropy, suspicious_port",exfiltration,1.0,1,-0.469509,Possible Exfiltration
192.168.241.61,9.32.18.211,63764,993,6,TCP,368,132399,31.502637305584532,11.6815616556257,4202.790982726052,359.7798913043478,61.98780936574433,40.0,1500.0,0.08560499267821883,1.1991662002501662,1.3243868571724502,6.278846026868227,0,0,1701964346.6571457,1703103258.455624,benign,benign,0,Benign,none,benign,1.0,0,-0.422416,Benign
192.168.67.229,18.236.139.29,58539,6667,6,TCP,406,3736853,323.1197091900341,1.2565002643067562,11564.918182698262,9204.07142857143,119.76677910877716,40.0,1500.0,0.7958613526848131,0.07178719060085006,1.3625582912335352,7.962723614194249,1,1,1704450325.060373,1704100710.5367873,exfiltration,covert_high_entropy,95,Possible Exfiltration,"high_entropy, very_high_entropy, large_transfer, long_duration, suspicious_port",exfiltration,0.96,0,-0.440211,Possible Exfiltration
